distinct_fullvisitorid,distinct_visitid,occurrences
11177338908803698664,1552604307,1
11188751202977420022,1552517186,1
11203894724965018466,1552170363,1
11206605009338560357,1552429281,1
11207113557899909766,1552344716,1
11207600956479576389,1551736544,1
11211159550211732136,1551912908,1
11216802689083566060,1552171798,1
11227425807248317882,1551566405,1
1125289945565653868,1552516818,1
11262531680561593848,1552254994,1
11267281521054122868,1552517196,1
11268301548206160079,1552601216,2
11268301548206160079,1551480097,2
11275907570509786371,1551826555,1
1127679275133220664,1552344240,1
11277599596926987307,1552255611,1
11277762303673552498,1552085647,1
11294120019429326897,1552428424,1
11297027471950693293,1552083432,1
11298950650591127704,1552431298,1
11302567637185802685,1552344931,1
11307928877278932456,1552344034,1
11313450268221782020,1551824802,1
11322895871571578244,1552255335,1
11323170653037788499,1552257383,1
11328500748536380449,1552170829,2
11328500748536380449,1551826524,2
11331216481942159648,1551825735,1
11334172419825196760,1552083266,1
11337234660966983297,1552604332,1
11337562789733723456,1552258578,1
11338493078322894305,1552172173,1
11350759272166924699,1552083659,1
1135239661914795640,1551912019,1
11361241999075947791,1551740380,1
11362379777350949243,1551739476,1
11362579987469569860,1552603500,1
11363000286562220055,1552344254,1
11363487825468990579,1551996288,1
11366103738484118045,1552257046,1
11368767941564956314,1551566094,1
11369033565207896017,1551481181,2
11369033565207896017,1552170816,2
11369877426845722688,1552515401,1
11372072365444837527,1551999023,1
11376592127530306567,1552430561,1
11379694205354872171,1552344905,1
11380085415814546724,1551739146,1
11380783548398192723,1551998627,1
11382486094885292790,1552171254,2
11382486094885292790,1552256538,2
11397884287966194457,1552430708,1
11399809917118634954,1552172117,1
11401193980093420522,1552429190,1
11406080628969445056,1552170906,1
11409012852201361035,1551740026,2
11409012852201361035,1552517081,2
11416901763434913371,1552257851,1
11418437702721914194,1551738751,1
11423292881862838451,1552431434,1
11431288302281998926,1551998523,1
11446199847954736255,1551651547,1
11450505782885458105,1552342284,1
11457280946994567962,1552604059,1
11457671899029288243,1551479249,1
11462488811695678616,1551481121,2
11462488811695678616,1552085276,2
11467465641924002810,1551567414,1
11467856754921067165,1552604261,1
11471653701460413005,1551566931,1
1147231125640475392,1551565455,1
11472737305089062198,1552171521,1
11478781118735541748,1551825875,1
11482794550794181519,1551997690,1
11495778840931716118,1551653970,1
11496845953803370150,1552342843,1
11498078494550140335,1552084787,1
11499324029066839269,1552603016,1
11503857877678553828,1551911714,1
11503937191601880473,1551653900,1
11507867330349248773,1552430909,1
11511985826938642166,1551564101,1
11517974100860819326,1552170374,1
11518926437620481241,1552340685,1
11522636548571286836,1552344460,1
1152384159726875695,1551912457,1
11527853083443178774,1552085909,1
11529730757032313621,1551826540,1
11537192415968967811,1551480931,1
11540862089594197035,1552516706,1
1154322726347841028,1551653568,1
11547517873718259935,1551650197,1
11550201474986350622,1552344977,1
11554637669064722492,1551649087,1
11555415135057502165,1552344687,1
11561573763897894170,1552344998,1
1156372657898382595,1552603780,1
11580496472460507083,1551913112,1
11588654264573870889,1552344555,1
11590770708317489139,1552603879,1
11594681253870675511,1552604094,1
11597137817895499428,1551480708,1
11603556561135199324,1551913173,1
1161074869206564661,1552431379,1
11612451180345248514,1551740163,1
11618420893369612653,1552258691,1
11619051211441444682,1552258766,1
11623500872658159755,1552601286,1
11623952982202868936,1551738045,1
11627570202017883755,1551999168,1
11633067813732610033,1552083950,1
11633419559196667636,1552085964,1
11639311761006453476,1552084698,1
11642803140469293037,1552258403,1
11645348953710109435,1551566901,1
11647221929270797738,1551999362,1
