sessionID,visitStartTime_ts,app_complete_ts,ts_diff_minutes
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:28:11.911 UTC,18
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:28:14.360 UTC,18
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:28:19.155 UTC,18
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:28:25.211 UTC,18
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:29:05.724 UTC,19
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:29:09.751 UTC,19
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:29:12.659 UTC,19
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:31:08.299 UTC,21
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:32:45.485 UTC,22
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:32:49.623 UTC,22
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:32:53.169 UTC,22
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:33:04.007 UTC,23
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:34:03.174 UTC,24
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:34:06.546 UTC,24
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:34:15.414 UTC,24
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:34:22.940 UTC,24
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:34:37.183 UTC,24
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:34:39.902 UTC,24
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:34:43.897 UTC,24
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:34:47.281 UTC,24
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:34:49.766 UTC,24
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:34:52.970 UTC,24
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:34:56.587 UTC,24
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:35:00.179 UTC,25
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:35:04.542 UTC,25
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:37:08.504 UTC,27
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:37:09.295 UTC,27
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:37:12.688 UTC,27
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:37:15.110 UTC,27
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:37:17.646 UTC,27
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:37:21.705 UTC,27
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:37:26.175 UTC,27
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:37:31.678 UTC,27
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:37:33.736 UTC,27
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:37:35.545 UTC,27
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:37:37.593 UTC,27
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:37:53.720 UTC,27
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:38:18.793 UTC,28
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:38:20.967 UTC,28
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:39:39.313 UTC,29
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:39:45.513 UTC,29
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:39:52.349 UTC,29
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:39:55.184 UTC,29
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:39:57.501 UTC,29
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:39:59.151 UTC,30
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:40:00.651 UTC,30
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:40:02.952 UTC,30
